b	家
bblr	窨
bbgg	窳
bbgc	窟
bbkt	窒
bbkj	窀
bbhf	窖
bbhd	窕
bbhl	究
bbhg	窆
bbhk	窗
bbhr	皆
bbjd	窬
bbjg	穸
bbqh	穿
bbqc	窃
bbxf	窘
bbxk	空
bbxj	窍
bbzh	窑
bbzv	窄
bbsd	窦
bbrp	窠
bbvv	窿
bbyh	窈
bmmw	癯
bmkd	寰
bmsr	颍
bffh	癌
bfrv	瘀
bdpx	瘘
bdmf	痞
bdmv	寝
bddx	寮
bdnc	寡
bdnr	顷
bdkm	寄
bdkn	痒
bdkk	瘥
bdcd	冢 瘃
bdsp	皲
bdsv	郓
bdrs	瘅
btyx	瘰
bnsk	痼
bnrx	瘿
bldr	宿
blnn	甯
blld	瘊
blgn	痛
blkl	癔
blkz	瘴
blhf	痂
blhr	瘸
blwn	鹤
bgmv	瘕
bgnp	痫
bggs	癜
bgyb	癀
bkfm	疴
bkfd	瘌
bkft	富
bkfk	痘
bkfr	癞
bkdt	瘗
bkgr	痍
bkhk	痖
bkxh	痧
bkrk	宣
bkyb	寅
bkyt	室
bhbp	寨
bhbm	骞
bhbd	褰
bhbt	塞
bhbn	搴
bhbz	蹇
bhbr	赛
bhbv	寒
bhbw	謇
bhpd	痢
bhpx	痿
bhpr	颖
bhml	瘪
bhts	宪
bhjd	农
bhys	瘢
bjmv	瘦
bjnd	痪
bjgd	剜
bjgj	宛
bjkn	癣
bjvx	察 瘵
bjyn	魑
bjyg	魃
bjyj	魍
bjyq	魈
bjys	魁
bjyr	魉
bjyw	魅
bqbg	宠
bqjg	疣
bxlf	痦
bxxs	寥 瘳
bxvx	瘭
bzmv	痄
bzdf	痴
bzdn	肄
bzdz	疑
bzdr	癫
bcbh	痨
bcdr	颁
bcnr	贫
bclh	疬
bcjf	瘩
bcrd	寞 瘼
bcvd	宸
bsmf	害
bsmd	割
bsml	瘛
bsmg	豁
bsdf	寤
bsdw	寐
bsxv	寂
bsrq	瘠
brdr	幂
brlj	疮
brrt	痤
bvlw	瘫
bvgy	瘙
bvjl	瘾
bvxk	痉
bvsp	寇
bvsc	冠
bvwv	癃
bwfz	蹩
bwfr	额
bwjk	鳖
bwrs	瘁
bwww	癍
bymj	爸
bydr	颂
bygk	釜
bygx	斧
byjg	爹
byxx	翁
pbbr	楷
pbbv	榨
pblw	榷
pbkm	柠
pbkk	楦
pbjx	檫
pbjy	槐
pbqb	槟
pbvx	棕
ppbc	棼
pplz	楚
ppjg	梦
pprk	楂
ppvx	禁
pmjg	椤
pfff	榀
pfkh	楫
pfkj	枵
pdpx	楼
pdmg	杯
pdnr	颇
pdgh	梯
pdkm	椅
pdkn	样
pdkk	槎
pdxc	樽
pdvm	桁
ptbw	棱
ptzq	樾
pnnk	栅
pnrx	樱
pnvm	楹
plbf	榜
plbs	桦
plgm	杼
plgf	橘
plgn	桶
plgl	懋
plgk	橙
plkp	榇
plkz	樟
plkw	橄
plhf	枷
plhd	柳
plwq	樵
plws	榫
pgmn	樨
pgnf	榈
pgkj	栀
pgjv	榔
pgxr	皙
pgsf	椐
pgsq	榍
pgyb	横
pkmp	楝
pkfm	柯
pkfj	榧
pkds	枰
pknq	械
pkgj	柜
pkhk	桠
pkhv	椰
pkjj	柩
pkqs	桡
pkqr	槽
pkxh	桫
pkrk	桓
pkry	梗
pkwj	框
pkyt	桎
pkyj	枢
phph	楸
phdd	桃
phtf	梏
phnr	桢
phqc	榭
phzg	梃
phsf	栝
phsk	棰
phrs	槔
phrr	棉
phrw	檄
phvz	槌
pjlc	椽
pjks	椴
pjkr	橹
pjqd	榆
pjqs	概
pjcj	桅
pjcw	檐
pjsk	检
pjsr	槠
pjvs	槲
pqbg	栊
pxms	棣
pxng	楗
pxlf	梧
pxjg	柢
pzmv	柞
pzln	桴
pzjg	梅
pcbc	檬
pcnb	橛
pclh	枥
pckc	橱
pckv	槿
pcsb	棋
pcsj	椹
pcsq	槭
pcrd	模
psmd	楔
psft	樘
psdh	樯
psng	楠
psns	植
psld	椟
pskn	榉
psks	桄
pshv	梆
psqj	栲
psqr	楮
psxv	椒
psrp	榛
psrd	楱
psrn	棒
psrr	椿
prbb	棍
prlg	柃
prlj	枪
prxx	榻
prvy	桧
prwn	檎
pvkc	橼
pvqq	椭
pvzm	槛
pvzj	榄
pwnf	槁
pwln	椁
pwhk	檀
pwhx	檩
pwrd	榱
pwyh	梳
pwyr	核
pybw	梭
pyqq	橇
pyvj	樗
pyyd	樊
pyyn	攀
mbdf	砦
mbnr	赀
mblw	雌
mbsf	瞎
mbrl	瞑
mbyx	紫
mmlq	氍
mmlv	矍
mmlw	瞿
mmhb	颦
mmhh	步
mmhr	频
mmvg	骥
mdpm	瞵
mdmg	罘
mdmr	罾
mdgh	睇
mdkm	骑
mdrj	罨
mtbt	睦
mtqf	黠
mtqd	黩
mtqt	墨
mtql	黔
mtqg	黟
mtqh	黝
mtqj	黥
mtqq	默
mtqc	黜
mtqs	黪
mtqr	黯
mtqw	黢
mtym	瞌
mtyq	罴
mtyx	骡
mnsk	驷
mlbs	骅
mlnk	凹
mlns	兕
mlgd	睽
mlgk	瞪
mlkv	瞳
mlkw	瞰
mlwq	瞧
mgln	骣
mggx	骟
mggc	骗
mghn	瞩
mkmk	凸
mkdp	睐
mkng	骊
mknj	盹
mkhc	骤
mkqs	骁
mkxz	睫
mkcn	豳
mkwj	眶
mkyj	驱 眍
mhph	瞅
mhdd	眺
mhnl	骢
mhgg	眨
mhsk	睡
mjmv	瞍
mjdl	鼎
mjgg	眵
mjgz	逻
mjxm	睁
mjcw	瞻
mjsk	验 睑
mxjl	眄
mxvx	瞟 骠
mzbm	瞬
mcmb	龇
mcfz	龊
mctt	睚
mcns	龃
mcgt	龌
mckr	瞒
mchn	龋
mcxf	龉
mccf	龆
mcsb	骐
mcss	龅
mcrg	龄
msms	淼
msmv	酆
msft	瞠
msfy	蜀
msng	罱
msns	置
mslw	罹
mskj	眠
msqr	署 睹
mvbg	冀
mvbq	背
mvbv	邶
mvgy	骚
mwfd	骧
mwyr	骇
mybw	骏 睃
myds	骖
mykj	骋
myhn	眸
myyn	幽
fbbh	嘧
fbbs	哔
fbbr	喈
fbkm	咛
fbkk	喧
fbhd	哝
fbht	噻
fbhq	咤
fbjx	嚓
fbwf	喀
fbyg	嗲
fbyx	嗡
fppx	噤
fprk	喳
fmbm	蹿
fmbj	嘴
fmbx	踪
fmbs	跸
fmmr	踏
fmmy	躅
fmfp	躁
fmdf	跖
fmdk	蹉
fmdj	跨
fmdc	蹲
fmdr	蹭
fmdv	踯
fmtp	跺
fmtt	跬
fmtq	嘿
fmng	趿
fmnk	跚
fmlp	蹂
fmlf	跏 踣
fmln	踊
fmlk	蹬
fmlx	跞
fmlc	跗
fmlr	蹄
fmly	跤
fmgf	踮 踞
fmgt	躔
fmgg	踉
fmgc	蹁
fmgr	踬
fmgv	踱
fmkj	距
fmks	跷
fmkv	蹑
fmhf	跌 蹼
fmhd	跳
fmht	蹯
fmhn	踽
fmhz	跹 踔
fmhs	跣
fmhr	躜
fmhv	踹
fmhy	蹦
fmjl	跽
fmjg	蹴
fmjj	跪
fmqg	跋
fmxg	踺
fmzp	踩
fmzf	踟
fmzd	蹊
fmzj	蹈
fmcb	蹶
fmcp	蹀
fmcc	蹰
fmcr	躇 蹒
fmcw	躏
fmsc	踌
fmss	跑
fmsy	躐
fmrp	踝
fmrj	跄
fmrx	蹋
fmrv	踢
fmvq	践
fmwf	路
fmwn	鹭
fmwq	跻
fmwv	躞
fmyf	跆
fmyv	踵
ffml	患
fffp	噪
ffdf	嚣
ffds	辇
fftj	鼍
ffqf	器
ffzd	嗾
ffvn	鹗
ffvr	颚
ffvv	鄂
fdpx	喽
fdmk	呸
fdmq	嘎
fdmr	噌
fdmw	嗄
fddx	嘹
fdtt	喹
fdkm	嗌
fdkn	咩
fdkk	嗟
fdcd	啄
fdsg	啭
ftkd	喂
ftym	嗑
fnfd	囔
fndl	嗯
fndk	咽
fntf	啁
fnlk	啦
fngx	哳
fnhr	啪
fncf	嗣
fnsy	嗤
fnrh	勋
fnrx	嘤
fnrv	郧
flbs	哗
flbr	啼
flnf	嘀
flnj	吼
flnv	哪
flld	喉
flgk	噔
flgz	嗵
flkl	噫
flkx	唼
flkr	喑
flhf	咖
flxh	咿
flwq	噍
fgpp	嘛
fgld	哌
fglh	嘞
fgls	咏
fggq	唳
fgkt	喔
fghn	嘱
fgjv	啷
fgrd	唰
fkfb	嗽
fkfm	呵
fkfd	喇
fknj	吨
fkgr	咦
fkhk	哑
fkhq	戢
fkhv	嗫
fkjg	饕
fkqg	哺
fkqs	哓
fkqr	嘈
fkzg	嗨
fkrj	咂
fkry	哽
fkwj	哐
fkyj	呕
fhph	啾
fhmq	嗅
fhdn	呼
fhdv	喘
fhnd	噢
fhnq	哦
fhkf	噗
fhkc	噱
fhhk	嘘
fhjg	哕
fhsk	唾
fhrq	唣
fhrs	嗥
fhyy	嘣
fjmv	嗖
fjnd	唤
fjlc	喙
fjgg	哆
fjkr	噜
fjqd	喻
fqbg	咙
fqmh	呀
fxmb	啸
fxlf	唔
fxvx	嘌
fzbk	噎
fzbv	嗳
fzmc	嚼
fzmv	咋
fzff	嘻
fzfs	嘭
fzdm	旖
fzdj	施
fznw	旃
fzld	旅
fzlq	膂
fzlz	旋
fzgb	旎
fzkr	旆
fzhv	旌
fzxk	噬
fzzd	族
fzcb	旗
fzwh	旒
fzyq	旄
fcbh	唠
fcfq	喊
fcnb	噘
fclm	嗬
fclh	呖
fclj	呃
fckp	喋
fcjf	嗒
fcjv	喱
fcqf	喏
fcsq	嘁
fcsx	嘶
fcrj	噶
fcwf	嚆
fsbx	嗦
fsbz	嚏
fsng	喃
fsnz	遗
fsnr	贵 唢
fsks	咣
fshv	鄙
fsqn	哮
fsqv	嘟
fszh	啕
fszy	嘲
fscr	喷
fsrp	嗪
fsrn	唪
fsvl	唿
fsvz	遣
frlg	呤
frlj	呛
frgf	啥
frkv	嘬
frsj	喝
frrt	唑
frvy	哙
frwn	噙
fvnr	啧
fvkm	啊
fvks	哟
fvvp	嗓
fvvk	咝
fvvv	啜
fvyx	嗉
fwbc	嚎
fwfd	嚷
fwlm	哼
fwhd	裴
fwrs	啐
fwyq	唷 哜
fwyr	咳
fybb	蚍
fybl	螟
fybj	蜿
fybw	唆
fyby	蚣
fypx	蜥
fymv	蠼
fyfd	蜈
fyfn	蜗 蝣
fyfj	蝇
fydf	蟮
fydt	蝰
fydn	蛘
fydj	蜷
fydx	蜕 蝼
fyds	蝉 蜣
fydr	蛳
fydv	嚅 蝤
fytt	蛙
fytx	螺
fynf	蜩
fynt	蚺
fynk	蝈
fyns	蛆
fylm	蜢
fylf	螃
fyln	蛹
fylh	呦
fylz	蟑
fylw	嚯
fyly	蛟
fygb	蟥
fygm	蚓
fygf	螗
fygh	蠊
fygc	蝙
fygr	蜡
fygv	螂
fygy	蚁
fykm	蚵
fykd	蛱
fykt	蝠 蛭
fykl	蟪
fykq	蜮
fyks	蛲
fykr	螬
fyhf	蛞
fyhd	蜊
fyht	蟠
fyhn	哞
fyhl	蟋 螅
fyhg	蜓
fyhq	蛾
fyhs	蝌
fyhw	蝗
fyjp	蜍
fyjf	蛤
fyjd	蝓
fyjv	螋
fyjw	蟾
fyqh	蚜
fyqr	唏
fyxk	虹
fyxx	螵
fyzf	蜘
fyzd	唉
fyzn	蜉
fyzl	虼
fyzg	蜒
fyzs	蟛
fyzv	蚱
fyzw	蝮
fycb	蜞
fycp	蝶 蝾
fycd	蟆
fycn	蟒
fycj	蛎
fycq	蠛
fycx	螈
fycc	蠓
fycr	螨
fycv	蚶 蠖
fysp	螓
fysm	蚌
fysf	蛄
fyst	螳
fysg	蝻
fysq	蛸
fysr	蝽
fysy	蝴
fyrp	蜾
fyrg	蛉
fyrj	蝎
fyrq	蚧
fyrv	蜴
fyvt	蛏
fyvq	蜻
fyvs	蚪
fywm	蜂
fywt	蛀
fywn	螭
fywj	虻
fywq	蛴
fyws	蟀
fywy	蚊
fyyn	蛑
fyyh	蚴
fyyq	蚝
fyyv	蠕
dbdp	粢
dbnr	资
dbhn	牵
dbqb	殡
dbzz	凝
dpbx	粽
dpbc	粉
dpby	凇
dpmj	粑
dpdq	糕
dpdy	糍
dpns	粗
dplp	糅
dpld	糇
dpln	籽
dplk	粒
dplq	糈
dpgf	糖
dpgg	粮
dpgs	糠
dpgy	糨
dpkr	糟
dpky	粳
dphf	粘
dphq	糗
dphz	糙
dphr	粕
dpjx	断
dpjz	遴
dpjv	粼
dpxw	数
dpcj	粝
dpsy	糊
dpvq	精
dpvs	料
dpws	粹
dpwr	糌
dpys	糁
dpyv	糯
dmmm	衢
dmgm	歪
dmgf	否
dmgn	甭 孬
dmgk	丕
dmgz	还
dmgv	邳
dmkq	戛
dmjp	桨
dmjd	奖
dmjc	将
dmjs	浆
dmjv	酱
dmzd	装
dmrw	甑
dfbb	砒
dfbk	碹
dfbj	碗
dfbz	碇
dfpk	碴
dfms	泵
dfdm	磷
dfdf	磊
dfdk	碰 磋
dfds	砗
dfdr	硕
dfdy	磁
dftm	磕
dftt	硅
dfty	砝 砜
dfnb	碘
dfnf	碉
dfnr	殒
dflf	磅 碚
dfld	磙
dflk	磴 砬
dflj	卷
dflq	礁
dflx	砾
dfls	碌
dflr	碲
dflv	砀
dflw	碓
dfgb	磺
dfgd	碾
dfgq	砩
dfgx	斫
dfgc	碥
dfkp	磲
dfkd	硎 硖
dfkk	礓
dfkj	砸 砘
dfkc	豢
dfks	砰 硗
dfky	硬
dfhf	砧
dfhg	砭
dfhk	硇
dfhh	碳
dfhq	硪
dfjp	磔
dfjg	矽
dfjk	鲞 硷
dfqh	砑
dfqc	砌
dfxg	砥
dfxh	砂
dfzv	砟
dfcp	碟
dfcj	砺 硭
dfcq	碱
dfcx	礤
dfcc	礴 礞
dfcy	砹
dfsq	硝
dfrk	砼
dfrj	碣
dfrc	碍
dfvp	磉
dfvg	砖 碡
dfvr	碛
dfwf	硌
dfwh	硫
dfws	碎
dfww	礅
dfys	碜
dfyy	硼
ddmq	馘
ddmz	道
ddkn	徉
ddrn	鹩
ddrs	殚
ddwd	裂
dtbw	凌
dttm	街
dtkf	兽
dntf	凋
dnvn	鸸
dnvl	恧
dnvx	耍
dnvc	耐
dnvs	面
dlmk	殛
dgmm	州
dgmd	剃
dgmn	鹈
dgmh	弟
dgmz	递
dgsm	循
dkbm	益
dkby	蠲
dkml	惩
dkfb	欹
dkfm	奇
dkfd	剞
dkfq	养
dkdp	徕
dkdz	送
dkdv	郑
dknm	着
dknf	善
dknt	羞
dkng	羚 羝
dknk	差 羟
dknh	羰
dknj	羯
dknx	翔
dknv	鄯
dknw	羧
dkhr	普
dkhw	夔
dkjk	冱
dkqd	前
dkqq	煎
dkqx	翦
dkqc	剪
dkxb	歉
dkxn	鹣
dkxh	兼
dkxx	凄
dkcz	遂
dkvm	衍
dkvl	愆
dkyn	孳 鹚
dkyl	慈
dkyj	奁
dkyy	兹
dhts	冼
dhtw	微
dhrw	徨 徼
dhww	徵
dhyw	徽
djdm	衡
djxm	净
djsk	殓
dqvm	衔
dxlm	衙
dxvd	奠
dxvq	猷
dxvz	遵 遒
dxvc	尊
dzbk	殪
dzmd	御
dzln	殍
dzlv	殇
dzzh	徭
dcfq	减
dsbf	辖
dsml	德
dsfh	辑
dsdm	辚
dstd	辕
dsnf	徜
dsnj	辋
dsns	殖
dslx	轹
dsly	较
dsgp	椠
dsgd	辗
dsgt	堑
dsgj	錾
dsgx	斩
dsgr	暂
dskm	轲
dskt	辐 轾
dskg	辅 轼
dskj	辄
dskr	辆
dshf	轶
dshn	轷
dshl	轨
dshg	轳
dsjd	输
dsqr	奢
dscf	轺
dscj	轭
dssf	轱
dssd	辏
dsst	辎
dsrb	辊
dsrd	凑
dsrs	轸
dsvg	转
dsvk	轻
dsvv	轰 辍
dswf	辂
dsww	辙
dsyq	轿
drlg	冷
drkc	得
drjn	鹌
drsd	冁
drsg	餮
drsv	郸
dvjd	刳
dvjg	瓠
dvjs	匏
dvxk	径
dwdb	羡
dwhq	羲
dwhx	凛
dwqd	羹
tbtz	逵
tbjj	畹
tbvs	垸
tmgm	盐
tfnr	埙
tfhd	袁
tdmg	坏
tdmk	坯
tdmr	增
tdkm	畸
tdsq	载
tdrj	埯
tdvj	垮
ttmg	卦
ttgq	戴
tlnf	墒
tlld	堠
tlkf	培
tlks	境
tlkv	疃
tlhh	嬲
tlwq	截
tgmn	墀
tgkf	垢
tgxm	墉
tgxf	塘
tkfm	坷
tkfq	域
tkds	坪
tkhk	垭
tkjd	畏
tkqg	埔
tkcp	墚
tkrk	垣
tkrj	堰
tkry	埂
tkyt	垤
thdv	赧
thth	赫
thhk	墟
thsr	赭
thrw	凰
thvs	埠
thwy	螫
tjlg	坶
tqbg	垅
txbr	埽
txms	埭
txjg	坻
tzmg	赴
tzdb	趑
tzdd	趔
tzns	趄
tzlg	埏
tzkq	越
tzkv	趣
tzhr	趱
tzjx	趋
tzcf	超
tzsf	趟
tzrs	趁
tclh	坜
tclq	城
tckp	堞
tchx	塬
tcjf	塔
tcsj	堪
tsdh	墙
tsns	埴
tshc	畴
tsqr	堵
trmv	墁
trll	埝
trxx	塌
trsv	埸
twbc	壕
twfd	壤
twlw	墩
twhq	裁
twyn	垴
twyr	垓
tynb	飓
tylh	劫 坳
tyhh	飚
tyjv	飕
tyzd	埃
tyss	飑
nbbp	探
nbbm	撺
nbbl	挖
nbbk	控
nbbr	揩
nbds	挥
nbkm	拧
nbkk	揎
nbjx	擦
nbqb	摈
nbcn	掰
nprk	揸
nmmv	攫
nmty	摆
nmkd	擐
nmkk	圜
nmjl	鼐
nfmj	挹
nffp	操
nffd	囊
nffs	撵
nfnk	圆
nfnr	损
nfkh	揖
ndpx	搂
ndpw	擞
ndfp	橐
ndfk	圈
ndfy	蠹
nddx	撩
ndlb	拣
ndkm	掎
ndkl	恩
ndkk	搓
ndkh	搛
ndkj	罔
ndkv	掷
ndxc	撙
ndrj	掩
ndrs	掸
ndvj	挎
ndvx	捺
ntfw	雕
ntdk	圉
ntwf	撂
ntyx	摞
nnpk	捆
nnfd	攮
nndl	摁
nnkd	删
nnrx	撄
nnwk	掴
nlmk	拯
nlnf	摘
nlnk	囝
nlnv	挪
nlgp	揉
nlgm	抒
nlgd	揆
nlgn	捅
nlkf	掊
nlkx	接
nlkr	揞
nlkv	撞
nlkw	撖
nlwn	携
ngmg	抓
ngdd	搦
ngdk	摒
ngnf	搁
nggd	搌
nggq	掮 捩
ngkt	握
nghf	掂
nght	搋
ngqw	撒
ngxb	掀
ngxf	哲 搪
ngxz	逝 踅
ngxw	誓
ngxy	蜇
ngcq	摭
ngsf	据
nkdd	挟
nkds	抨 掭
nknk	囤
nkgj	拒
nkhv	摄 揶
nkqg	捕
nkqk	圃
nkqc	搏
nkqs	挠
nkxg	拭
nkxz	捷
nkrj	揠
nkyj	抠
nhph	揪
nhmn	擤
nhdd	挑
nhdt	播
nhdv	揣
nhtr	攒
nhlh	抛 掳
nhlw	摧
nhzg	挺
nhsf	括
nhsk	捶
nhsj	插
nhys	搬
njmv	搜
njfn	搿
njnd	换
njlg	拇
njlc	掾
njlr	掼
njgr	拟
njkr	撸
njhg	拨
njqd	揄
njxm	挣
njsk	捡
nqbg	拢
nqjg	扰
nqqk	囿
nqvg	拔
nxlf	捂
nxlk	圄
nxhf	捃
nxjg	抵
nxxr	摺
nxxw	擢
nzbv	授
nzmx	攥
nzfr	撷
nzdj	拖
nzgv	援
nzzh	摇
ncbh	捞
ncfl	撼
nctt	捱
ncnb	撅
nclj	扼
nclv	鹱
nckp	揲
ncjf	搭
ncsx	撕
ncrp	搽
ncrd	摸
ncvd	振
nsfn	撑
nsfk	固
nsfy	蚩
nsdp	掬
nslh	助
nslw	雎
nsgd	裘
nsgz	逑
nsgw	救
nskj	抿
nsjg	拶
nsqj	拷
nszg	擀
nszh	掏
nssg	撰
nsrd	揍
nsrn	捧
nsvk	囫
nsyl	悬
nrbk	贮
nrdh	赚
nrdr	赠
nrnn	鹦
nrng	赇
nrnh	罂
nrnx	婴
nrlf	赔
nrll	捻
nrlg	拎
nrlk	囹
nrlj	抢
nrgt	赃
nrgv	赆
nrkq	贼
nrkc	赙
nrkv	撮
nrhf	贴
nrhg	贬
nrhh	赕
nrjw	赡
nrqq	贿
nrcd	赈
nrsd	赎
nrsj	揭
nrsr	赌
nrsy	购
nrrt	挫
nrrx	赊
nrrv	赐
nrvg	赋
nrvq	贱
nrwf	赂
nrwn	擒
nrwr	赅
nryf	贻
nvmh	勖
nvmq	戤
nvdk	围
nvlw	摊
nvgy	搔
nvjg	抟
nvqk	圊
nvzj	揽
nvsk	园
nvvp	搡
nvvv	掇
nwfd	攘
nwfy	蛰
nwnf	搞
nwnr	贽
nwlh	势
nwlw	掖
nwgk	国
nwhd	袅
nwhk	擅
nwvk	图
nwyt	搐
nwyq	挤
nwyx	絷
nwys	摔
nwyw	撤
nyds	掺
nylh	拗
nylw	攉
nyqq	撬
nyzd	挨
lbbk	倥
lbbr	偕
lbdr	倾
lbnr	货
lbhd	侬
lbjy	傀
lbqb	傧
lbrf	啻
lmfk	亟
lmld	候
lmkd	儇
lmsn	函
lmsk	丞
lmsj	卺
lmss	承
lmwl	悠
lmwh	疏
lmwq	倏
lmws	修
lfpt	堡
lfph	煲
lfkd	俣
ldpm	麟
ldpx	偻
ldmr	僧
ldfj	倦
lddn	孵
lddg	卵
lddx	僚
ldlg	伪
ldkm	倚
ldkn	佯
ldrj	俺
ldvj	侉
lttt	儡
ltkd	偎
ltkr	佩
lnbf	商
lnmh	勐
lntf	倜
lnxz	逊
lnsb	俱
lnsg	俅
lnss	孢
lnrd	侧
lnwr	孩
lnyv	孺
llbf	傍
llgn	俑
llkf	倍 伺
llkd	侯
llkv	僮
llhf	伽
llwq	僬
lgmv	假
lgnn	甬
lgnl	恿
lgnh	勇
lgnz	通
lglm	予
lglx	豫
lglc	俯
lglr	预
lggc	偏
lgcp	柔
lgcm	骛 瞀
lgcn	鹜 鹬
lgcl	矜
lgcj	鍪
lgcx	婺
lgcy	蟊 蝥
lgsf	倨
lgvd	癸
lgvt	凳
lgvk	登
lkpx	新
lkfm	何
lkfd	剖
lkfv	部
lkfw	瓿
lkfy	使
lkdd	侠
lktk	僵
lkty	飒
lkng	俪
lknr	俩
lkkp	竦
lkhf	站
lkhl	憨
lkhc	俨
lkhv	端
lkhw	敢
lkjd	袋
lkjn	牮
lkjg	代
lkjh	岱
lkjq	黛
lkjr	贷
lkjv	童
lkqt	垡
lkqc	傅
lkqs	侥
lkxx	翊
lkzl	戆
lkzs	彰
lkzr	赣
lkzv	鄣
lkcs	毅
lkrb	歆
lkrf	韶
lkrd	韵
lkrl	意
lkrj	竭 偃
lkrs	竟
lkry	便
lkvq	靖
lkyd	倒
lkyt	侄 耋
lkyj	伛
lkyw	竣
lhpd	俐
lhpx	倭
lhfp	架
lhfm	驾 哿
lhfd	袈
lhfz	迦
lhfr	贺
lhfy	虱
lhdd	佻
lhnq	俄
lhnr	侦
lhnw	傻
lhll	勰
lhlw	催
lhjd	卿
lhqc	麝
lhzt	凭
lhzl	恁
lhzr	赁
ljgg	侈
ljgr	似
ljqd	偷
ljqg	僦
ljxl	您
ljcw	儋
ljsk	俭
ljsr	储
ljvx	傺
lqmh	伢
lqjg	优
lqxk	佐
lqsr	僭
lxbv	侵
lxdp	僳
lxng	健
lxlk	伍
lxjg	低
lzmv	作
lzff	僖
lzfy	蛋
lzln	俘
lzlh	伤
lzjg	侮
lcjw	儆
lcqf	偌
lcsb	麒
lcsr	颜
lsfs	傥
lsfw	做
lsnf	倘
lsns	值
lshc	俦
lscr	偾
lsrn	俸
lsrs	傣
lsvl	偬
lsvy	偿
lrlg	伶
lrlj	伧
lrsj	偈
lrvy	侩
lvmd	剥
lvmz	逯
lvms	录
lvnr	债
lvlw	傩
lvjg	传
lwbm	停
lwhd	依
lwjw	雠
lwqd	劁
lwqn	鹪
lwyq	侪
lybw	俊
lydv	儒
lykj	俜
lyhd	衮
lyhn	侔
lyzd	俟
gppp	糜
gppm	麽
gppf	磨 靡
gppn	摩
gppq	麾
gppx	縻
gppy	魔
gmgj	爬
gmsn	犀
gmvz	遐
gffn	犟
gffy	强
gdpl	鬻
gdpg	粥
gdpx	屡
gdmz	屣
gddx	屦
gdnr	顸
gdgd	弱
gdkn	庠 羼
gdkh	廉
gdzw	履
gdsv	屐
gdrg	弼
gdrj	庵
gdrs	弹
gtkk	疆
gnpn	鹇
gnmq	阒
gnff	闾
gnfv	阏
gnfy	闽
gndj	阉
gndx	阅
gndz	闼
gnds	阐
gntm	阖
gntt	闺
gnnb	阙
gnnk	阃
gnld	阕
gnlq	阀
gnlw	阚
gngg	阆
gnkp	阑
gnkf	阔
gnkh	闻
gnkq	阈
gnjj	阎 阄
gnjs	阋
gnqy	闳
gnxr	阍
gnzv	阌
gnrr	阊
gnvd	闱
gnwf	阁
gnwt	闶
gnwr	闹 阂
gnwy	闵
glnn	孱
glln	鹰
gllq	膺
glgp	鞣
glgm	序
glky	鞭
glcr	腐
glsr	昶
ggfj	扈
ggnf	扃
ggnx	翩
ggnz	遍
ggnc	扁
gglw	雇
gggx	所
gghn	鞴
ggjd	展
ggjv	廊
ggxx	扇
ggsq	臀
ggrk	昼
ggvs	戽
ggwn	肇
ggwx	綮
gkfz	逅
gklj	卮
gkyt	屋
ghfn	属
ghnt	鞲
ghzg	庭
gjhg	废
gjcn	廨
gjvt	廛
gqbb	髌
gqbf	髂
gqbg	庞
gqbj	髋
gqmy	髑
gqdx	髅
gqnr	费
gqgf	骺
gqjj	艴
gqqz	髓
gqxg	骶
gqsf	骷
gqrp	髁
gqrq	骱
gqwf	骼
gqwr	骸
gxmf	唐
gxms	康
gxdr	颀
gxls	殷
gxjg	底
gxqm	庸
gxxs	廖
gxrr	赓
gckn	鹧
gckg	庹
gckj	屉
gckq	庶
gckz	遮
gckr	席
gckv	度 廑
gcqn	鞯
gsmz	遁
gsfd	剧
gsdp	鞠
gsnr	质
gsqr	屠
grrt	座
gvkm	屙
gvxl	慰
gvxk	弪
gvxh	熨
gvxc	尉
gwlv	廓
gwhx	廪
kbbp	深
kbds	浑
kbkb	演
kbkm	泞
kbkk	渲
kbhd	浓
kbqb	滨
kbcm	湓
kbrl	溟
kbvx	淙
kbvs	浣
kbyk	滏
kpby	淞
kppq	潸
kppx	漤
kpgx	淅
kprk	渣
kprs	漆
kmmh	涉
kmmr	濒
kmdr	顶
kmlw	濉
kmkq	焉
kmkv	鄢
kmxh	渺
kfpm	整
kfpd	剌
kfpz	速
kfpr	赖
kfpw	敕
kfmb	歌
kfmm	哥
kfmf	潞
kffp	澡
kffl	漶
kffr	潜
kfdk	豆 豇
kfdj	豌
kfdz	逗
kfdv	豉
kftd	副
kftz	逼
kfkl	惑
kfkq	或
kfxm	事
kfzn	游
kfzz	漩
kfsj	匮
kfsr	溃
kfrj	渑
kfrv	淤
kdpg	瀵
kdpr	赉
kdms	忝
kdfy	蚕
kddx	潦
kddr	颊
kddv	郏
kdns	湎
kdlg	沩
kdgm	洲
kdgh	涕
kdkm	溢
kdkd	湔
kdkn	洋
kdky	滋
kdcd	涿
kdsj	匦
kdsx	渐
kdsz	涟
kdrj	淹
kdws	漾
ktym	溘
ktyx	漯
knpp	棘
knpd	刺
knpv	枣
kndk	洇
kngn	鹂
kngg	丽
kngx	浙
kngz	逦
kngv	郦
knkk	溷
knjr	顿
knsm	湃
knsk	泗 涸
knrd	测
knrk	泅
knrq	溅
knrr	两
knvk	涠
klbf	滂
klmn	涵
klnf	滴
klgn	涌
klgk	澄
